Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Adam Frazier,624428,134,115.0,126.0,57.0,25.0,4.0,6.0,56.0,32.0,4.0,111.0,7.0,0.262,424.0,0.323,0.382,0.705,4.0,3.0,0.429,2.0,1780.0,466.0,162.0,32.0,141.0,2.0,1.0,0.289,0.94,70.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,4.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Bryan Reynolds,668804,134,101.0,87.0,65.0,26.0,2.0,13.0,88.0,39.0,0.0,115.0,6.0,0.326,353.0,0.4,0.521,0.921,2.0,1.0,0.333,8.0,1583.0,400.0,184.0,49.0,126.0,0.0,2.0,0.402,1.34,27.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,2.0,0.5,1.0,0.5,1.5,1.0,1.0,True
Colin Moran,592567,134,118.0,87.0,37.0,21.0,1.0,11.0,91.0,24.0,3.0,100.0,2.0,0.279,358.0,0.326,0.436,0.761,0.0,0.0,0.0,8.0,1396.0,387.0,156.0,64.0,167.0,0.0,3.0,0.344,1.05,32.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Elias Diaz,553869,134,80.0,71.0,26.0,13.0,0.0,1.0,46.0,21.0,0.0,61.0,0.0,0.248,246.0,0.305,0.313,0.618,0.0,0.0,0.0,9.0,1112.0,269.0,77.0,23.0,102.0,0.0,2.0,0.299,1.01,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Erik Gonzalez,570481,134,27.0,29.0,4.0,2.0,1.0,0.0,20.0,7.0,3.0,14.0,0.0,0.194,72.0,0.266,0.25,0.516,0.0,4.0,1.0,3.0,286.0,82.0,18.0,2.0,40.0,3.0,0.0,0.269,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Jacob Stallings,607732,134,46.0,30.0,14.0,4.0,0.0,4.0,26.0,10.0,5.0,30.0,2.0,0.263,114.0,0.333,0.404,0.737,0.0,0.0,0.0,1.0,426.0,126.0,46.0,9.0,50.0,0.0,0.0,0.31,1.07,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Josh Bell,605137,134,120.0,120.0,84.0,36.0,3.0,31.0,106.0,60.0,9.0,125.0,3.0,0.28,447.0,0.364,0.582,0.946,1.0,0.0,0.0,8.0,2067.0,516.0,260.0,98.0,185.0,0.0,6.0,0.297,1.18,14.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,4.0,0.5,2.0,0.5,1.75,1.25,1.0,True
Kevin Newman,621028,134,95.0,117.0,34.0,14.0,3.0,7.0,48.0,21.0,2.0,106.0,3.0,0.301,352.0,0.345,0.418,0.762,6.0,10.0,0.625,4.0,1381.0,379.0,147.0,42.0,151.0,2.0,1.0,0.332,1.39,50.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Melky Cabrera,466320,134,107.0,108.0,36.0,19.0,1.0,6.0,36.0,13.0,2.0,88.0,1.0,0.278,317.0,0.308,0.401,0.709,0.0,2.0,1.0,12.0,1149.0,332.0,127.0,39.0,135.0,1.0,0.0,0.298,1.26,52.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,3.0,0.333,1.0,0.333,0.666,0.333,1.0,False
Pablo Reyes,622569,134,38.0,19.0,9.0,1.0,0.0,2.0,20.0,5.0,0.0,12.0,1.0,0.171,70.0,0.237,0.271,0.508,0.0,1.0,1.0,0.0,298.0,76.0,19.0,8.0,30.0,0.0,0.0,0.208,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
